state,scheme_name,about,eligibility,link
DELHI,Formation & Promotion of Farmer Producer Organizations (FPO),"The main objective of the Formation & Promotion of Farmer Producer Organizations (FPOs)  scheme is to empower small and marginal farmers by enabling them to form collective organizations , which enhances their ability to access quality inputs, technology, markets, credit, and value-addition services, ultimately improving their income and fostering sustainable agricultural livelihoods.","The
main objective
of the
Formation & Promotion of Farmer Producer Organizations (FPOs)
scheme is to
empower small and marginal farmers by enabling them to form collective organizations
, which enhances their ability to access quality inputs, technology, markets, credit, and value-addition services, ultimately improving their income and fostering sustainable agricultural livelihoods.",https://fpo.dac.gov.in
DELHI,Farmer Registry / Digital Farmer ID (AgriStack),"The main objective of the Farmer Registry / Digital Farmer ID (AgriStack) initiative is to provide every farmer with a unique, authenticated digital identity linked to their land, Aadhaar, and banking details , enabling seamless and efficient access to government schemes, credit, insurance, and agricultural services by consolidating accurate farmer data in one central digital infrastructure.","Objective: Creation of a unified farmer identity linked with land records to streamline benefits across schemes.
Eligibility: All farmers with cultivable land in Delhi.
Documents Required: Aadhaar, land records, mobile number for e-KYC and registration.",https://digitalfarmer.tn.gov.in
DELHI,"PM KUSUM Scheme
(Solar Irrigation Subsidy)","The main objective of the PM-KUSUM (Pradhan Mantri Kisan Urja Suraksha evam Utthaan Mahabhiyan) scheme is to boost farmers income and water?energy security by promoting solar-powered irrigation and decentralized renewable energy in agriculturethereby reducing diesel dependency, lowering irrigation costs, enabling sale of surplus solar energy into the grid, and cutting environmental pollution","Eligibility: Individual farmers or collectives (like panchayats/cooperatives) in Delhi seeking solar pump installation.
Documents Required: Land records, identity documents, and proofs of farmer registration or KCC linkage",https://www.tnpmkusum.com/
DELHI,e-National Agriculture Market (e-NAM),"To create a unified national digital marketplace by integrating traditional APMC mandis across India, which enables transparent price discovery, reduces intermediaries, facilitates real-time bidding, grading, and online payments, and thereby helps farmers access fair prices and wider markets","Eligibility: Registered farmers with produce to trade via participating APMCs.
Documents Required: valid ID (aadhar or voter id )",https://enam.gov.in
GUJARAT,                     SCHEME NAMES,                                EXPLANATION,                            BASIC ELIGIBILITY CRITERIA,                                          LINK
GUJARAT,iKhedut Portal,the portal provides a unifiedand freeaccess point for farmers to apply for various government schemes and access agricultural services online.,"All farmers, cattle rearers, fi shermen, and gardeners in Gujarat",khedut.gujarat.gov.in
GUJARAT,Gujarat Farmer Registration (GJFR),"aims to create a centralized and authenticated database of farmers in Gujarat. Once registered, each farmer receives a unique Digital Farmer ID, which links their Aadhaar, land records, and bank details for better service delivery","Farmers seeking access to government schemes, subsidies, and services",gjfr.agristack.gov.in
GUJARAT,AGR2 Farm Mechanization Scheme,"The scheme aims to
enhance agricultural productivity and reduce production costs
by encouraging mechanization. It provides
state-funded financial assistance
to farmers (excluding SC/ST) for purchasing modern agricultural machinerysuch as power tillers, rice transplanters, self-propelled equipment, tractor-operated implements, and electrically powered toolsparticularly in the 208 talukas where the centrally sponsored SMAM scheme is not available",Farmers other than SC/ST for purchasing agricultural equipment to increase production,myscheme.gov.in
GUJARAT,Beekeeping Financial Aid,"Beekeeping in Gujarat is supported  both at state and national levels, through programs like Mission Bee and the Mukhya Mantri Yojana , which emphasize free or subsidized beekeeping inputs, training, and infrastructure. National schemes offer deeper support for infrastructure and commercialization, benefiting farmers and rural enterprises across various categories.",Farmers and entrepreneurs; Rs 8.76 crore allocated for beekeeping training and equipment,timesofindia.indiatimes.com
GUJARAT,Matsya Sampada Yojana (PMMSY),"Its primary objective is to promote sustainable and inclusive development of the fisheries sector, thereby enhancing fish production, improving livelihoods, and boosting exports",Fishermen and fi sh farmers; Rs 50 crore allocated for 2025-26 to enhance fi sheries infrastructure,timesofi ndia.indiatimes.com
GUJARAT,Atal Bhujal Yojana,"The Atal Bhujal Yojana (ATAL JAL) is a central government initiative aimed at ensuring sustainable groundwater management in India. Launched in December 2019, the scheme focuses on community-led approaches to address the challenges of groundwater depletion, especially in water-stressed regions.",Farmers in priority districts; aims to improve groundwater management through community participation,en.wikipedia.org
KERALA,                     SCHEME NAMES,                                EXPLANATION,                            BASIC ELIGIBILITY CRITERIA,                                          LINK
KERALA,           Kerala State Horticulture Mission (NHM  State),"The Kerala State Horticulture Mission (SHM Kerala) aims to enhance horticulture through region-specific strategies, improving production, post-harvest management, processing, and marketing, thereby boosting farmers' income and nutritional security.","Farmers, horticulture enterprises for production to marketing of horticultural crops",khedut.gujarat.gov.in
KERALA,National Horticulture Mission (NHM  Central,"The National Horticulture Mission (NHM) is a centrally sponsored scheme launched by the Government of India in 2005-06 under the Mission for Integrated Development of Horticulture (MIDH). It aims to promote the holistic growth of the horticulture sector through area-based, regionally differentiated strategies.","Farmers across India, Kerala included; horticulture-based enterprises",gjfr.agristack.gov.in
KERALA,"Vegetable and Fruit Promotion Council, Keralam (VFPCK)","VFPCK's mission is to enhance the livelihoods of fruit and vegetable farmers in Kerala by promoting sustainable production, value addition, and marketing through a farmer-centric approach. The organization operates on the principles of ""Self Help, Participation, and Prosperity,"" focusing on empowering farmers through Self Help Groups (SHGs), participatory technology development, and market access initiatives","Vegetable & fruit farmers supported via marketing, MSP, and procurement schemes",https://vfpck.org/
KERALA,Karshaka Pension Scheme (Farmers Pension),The Karshaka Pension Scheme is a welfare initiative by the Kerala Government aimed at providing financial support to small and marginal farmers upon reaching the age of 60. This scheme recognizes the vital role of farmers in the state's economy and ensures their livelihood security in their later years.,Elderly ensuring pension support; age and landholding criteria apply,https://kfwfb.kerala.gov.in/
KERALA,Kerala Chicken Project,"The Kerala Chicken Project envisions a self-reliant poultry sector within the statesupporting small-scale farmers, ensuring food safety, curbing price volatility, and constructing a full-fl edged poultry infrastructure to benefi t producers and consumers alike","Poultry farmers producing safe, wholesome broiler chicken",https://pms.rebuild.kerala.gov.in/
KARNATAKA,                                 SCHEME,                                     EXPLANATION,                                  BASIC ELIGIBILITY CRITERIA,                                              LINK
KARNATAKA,Karnataka Raitha Samruddhi Yojane,"Promote integrated, sustainable agriculture combining crops, livestock, horticulture, and dairy by offering scientific guidance, soil-health info, modern practices, value addition, and market linkages.","Farmers across sectorsagriculture, dairy, horticulture; especially those in drought-prone/rainfed areas seeking income supportAnnounced in the State Budget 2024-25",https://raitamitra.karnataka.gov.in/english
KARNATAKA,Krishi Bhagya Scheme,"The Karnataka Krishi Bhagya Scheme aims to promote sustainable rainfed agriculture by supporting farmersespecially in drought-prone areaswith construction of farm ponds (Krishi Hondas), lined to reduce seepage, and subsidized installation of pumps, micro-irrigation systems (drip/sprinkler), greenhouses, shade nets, and agricultural machinery, thereby enhancing water conservation, crop productivity, and farmers' resilience to dry spells","Small/marginal, dryland farmers; focuses on water conservation",https://kkisan.karnataka.gov.in/
KARNATAKA,Tractor & Farm Mechanization Subsidy,"Promoting modern equipment adoption such as tractors, rotavators, power tillers, seed drills, and transplanters  to boost productivity, reduce labor costs, and ensure timely agricultural operations","All farmers; SC/ST (up to 90% subsidy), general category (up to 50%)",https://kkisan.karnataka.gov.in/
KARNATAKA,Raitha Siri Scheme,"Provide ?10,000 per hectare
via direct benefit transfer to millet farmers to expand cultivation, encourage organic millets, enhance nutritional security, and restore degraded lands","Millet growers; per hectare financial incentive (?10,000) for drought-resistant cropping",raithasiri.karnataka.gov.in
KARNATAKA,Bhoo Siri Scheme,"The Karnataka Bhoo Siri Scheme (202324) offers an additional ?10,000 subsidy to Kisan Credit Card (KCC) holders ?2,500 from the state and ?7,500 from NABARDto help purchase seeds, fertilizers, pesticides, and other farm inputs, benefi ting approximately 50 lakh farmers ; additionally, the scheme raises the interest-free loan limit from ?3 lakh to ?5 lakh","Small/marginal farmers; receives ?10,000/year for seeds, fertilizers, pesticides (?5 k from state + ?5 k from NABARD)Introduced in 2023-24 Budge",local Dept. of Agriculture
KARNATAKA,APMC / Rashtriya e-Market Service (ReMS,"APMCs are state-regulated market bodies established under the APMC Acts to safeguard farmers from exploitation by ensuring produce is traded in regulated wholesale markets (mandis). These institutions aim to streamline auctions, prevent coercive buying practices, and standardize market operations.",Farmers looking to sell produce at fair prices and access online markets,https://www.enam.gov.in/
KARNATAKA,Market Intervention Scheme (Mango Relief),"The Market Intervention Scheme (Mango Relief) is a targeted action under PM?AASHA (Pradhan Mantri Annadata Aay Sanrakshan Abhiyan), designed to shield mango farmers from distress due to sharp price falls during bumper harvests.",Mango growers affected by price crashOngoing compensation or procurement via State & Centre for up to 2.5 lakh tonnes,https://vishwakarmayojana.co.in/karnataka-price-deficiency-payment-scheme/
